RegistryID,TitleOfWork,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude,LocationOnsite,Type,PrimaryMaterial,Ownership,URL,PhotoURL,PhotoCredits,Artists
577,It's Written on Your Face,2014,Removed,It's Written on Your Face is a series of 4 striking hand-drawn portraits with words of connection to healing racial biases written across the faces of each person.,,Transit Shelter Ad Spaces,,,,,,Other,Colour pencil artwork using digital technology with words printed on paper,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=577,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=577&ImageId=469,,423
578,168+,2014,Removed,"Dionne Paul’s bus shelter posters refer directly to 1828 – 1998, the years of the Canadian Residential School System. The posters show three girls and one little boy in school uniforms. The young girls are posed in the classic gestures of the fable “say no evil,” “hear no evil,” and “see no evil.” The boy gestures “shhh,” referencing the history of aboriginal people being silenced, kept from speaking.",,Transit Shelter Ad Spaces,,,,,,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=578,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=578&ImageId=470,,417
579,Reconciliation,2014,Removed,1 minute digital video,We see words slowly formed in ink at the end of an old fashioned pen. These words were used by the Canadian Government as an apology to the First Nations peoples for the Residential School programme. The ancient pen represents the historical injustices at the same time as turning the viewer into the writer by carefully observing each word being formed. The chosen phrase tries to quantify the enormity of the numbers of First Nations peoples affected. It is graphic at the same time as being utterly unquantifiable.,Robson/Granville Screens/CBC Plaza/VanCity Theatre,,,49.28137400,-123.11970000,"789 Granville, 700 Hamilton, 1181 Seymour",Other,Video on digital screen,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=579,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=579&ImageId=471,Gary Ouimet,467
580,Reconciliation,2014,Removed,Northwest Coast Form-line and design merged with the aesthetics of psychedelic posters art and propaganda/protest art.,"Sonny Assu has applied his modern and unique style of Northwest Coast art to the aesthetics of psych, protest and propaganda art in an effort to challenge the public's view on Indigenous Rights and Title in Canada. Through these public interventions, Assu asks the viewer to engage in the reconciliation process to preserve the past, present and future.",Transit Shelter Ad Spaces,,,,,,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=580,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=580&ImageId=472,Lila Bujold,396
581,People of the Dawn,2009,In place,This mural is a series of 12 panels that celebrates the Mi'kmag culture from the East Coast of Canada that features symbols and images from petroglyphs.,"These paintings feature a cross-section of indigenous Mi'kmaq symbols - including baskets made from porcupine quills and images from petroglyphs, such as butterflies, moose and caribou. These twelve 4'x8' panels entitled ""People of the Dawn"" were shortlisted for the Lieutenant Governor's Masterworks Art Award.",Trout Lake Community Center,3360 Victoria Avenue,Grandview-Woodland,49.25550900,-123.06530000,Lobby,Mural,"Plywood, Amsterdam Acrylic Paints",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=581,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=581&ImageId=1010,Alan Syliboy,541
583,Rain Bench,2014,In place,,,Trillium Park,Trillium Park,Strathcona,,,Trillium Park North,Site Work,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=583,,,531
586,RestART Mural,2011,In place,"The Grandview-Woodland Community Policing Centre worked with support of the Celebrate Vancouver 125 Mural Program to deliver a RestART mural at East 1st Avenue and Nanaimo Street with the goal of offering creative alternatives for youth formerly involved in the graffiti subculture, as well as for property owners plagued by graffiti. Working with the youth engaged in this project, the artist mentor created a design to incorporate symbols not only of personal significance in the lives of individual youth participants and their decision to leave behind a lifestyle of illegal graffiti, but to also offer a more wide-ranging meaning to the greater community. Imagery includes the crow, an upturned hand, and a lotus flower.",,East 1st Avenue and Nanaimo Street,1687 Nanaimo,Grandview-Woodland,49.26961700,-123.05715800,,Mural,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=586,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=586&ImageId=764,,546
588,Friuli Mosaic,1986,In place,This mosaic was originally installed in the East Wing Annex of Vancouver City Hall (4626 West 9th Avenue). It was relocated to the Italian Cultural Centre in 2015.,,Italian Cultural Centre,3075 Slocan St,Renfrew-Collingwood,,,,Mosaic,Marble - travertine small pieces on concrete backing,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=588,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=588&ImageId=475,"Andrew Norrie, City of Vancouver",471
589,Fusion,2014,In place,"This sculpture sits in the heart of Marpole, one of Vancouver’s oldest residential neighbourhoods; it also sits on traditional Musqueam territory.  The Musqueam people have lived on their traditional territory – the land and waters now known as the lower mainland of BC encompassing the greater Vancouver region – for several thousands of years.  One of Musqueam’s most sacred sites, the Great Fraser Midden, is located just south of this site.The sculpture was conceived by the artist to acknowledge this rich cultural history, the history of the Coast Salish people, and to (re)introduce the residents of this community to their neighbour ~ the Musqueam people.The 14’ high water-jet cut aluminum sculpture, powder coated in copper and silver paint, is a contemporary Coast Salish design depicting salmon and river grass, which are representative of the Coast Salish people, and the Musqueam people in particular, and the salmon, once found in abundance in the nearby Fraser River.","“Fusion” is an artwork that marries mediums and cultures…as well as legends.  It also, metaphorically, fuses natural imagery with modern methods.The sculpture is contemporary yet unmistakably Salish.  As this development sits in traditional Musqueam territory and is close to the banks of the Fraser River, my conceptual art piece is based on the theme of “people of the Grass” as well as the “Salmon People” which is uniquely Musqueam.  The human element within the salmon has universal appeal that symbolically relates to all peoples.  The faces are revealed with traditional Salish elements.  Overall, the forms represent a living thriving culture and our historical legacy; as well as this unique community today…giving a sense of place and a landmark that respects the past, present and future.",Granville at 70th,70th Avenue & Cornish Street,Marpole,49.20855400,-123.14210000,"This work stands at the traffic diverter at 70th Avenue & Cornish Street, on the south side",Sculpture,Aluminum,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=589,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=589&ImageId=476,Ed White,300
591,Substation Pavilion,2014,In place,Concrete Pavilion,"Substation Pavilion consists of a small structure constructed of board-formed Ductal concrete, steel and glass, with a door that hints at a possible entrance (although in this case it is merely adecoy). There are windows on two sides, adding to the illusion of some kind of use value implicit to its presence on the site. The windows are utilitarian, institutional, industrial, with frosted security glass containing wire that obscure a direct line of site into the structure. Within the pavilion is a single, dim light. The pavilion sits immediately to the east of the entrance to the Meccanica development on the corner of First Avenue and Quebec Street in Vancouver, BC. The design borrows from the artdeco influenced electrical substations that are interwoven in Vancouver’s urban fabric. The piece looks as if it has been a long-term tenant of the site, as if it belongs to the area and is a relic of an earlier age. The illusion of its permanence is ruptured by a number of elements that disturb a simple and seamless inclusion in the local vernacular. The pavilion’s design references utility and yet as a consequence of the breaking up of vertical relations within the piece it becomes obvioussomething else is going on. What possible use could be made of a structure that seems to have no level floor, let alone barely enough room to turn around in? Why would so much attention be paid to the design of such a small and inconsequential piece of infrastructure?Substation Pavilion’s design hints at the networks of subterranean connections with the rest of the city and with the past of the site itself. The entire area of False Creek consisted of a marshy wetland prior to its infill. This program of ‘reclaiming’ the tidal areas of Vancouver allowed for the development of the rail yards and industrial infrastructure at the east end of False Creek. This established a horizontal approach to looking at and moving through the growing city, tied as it was to these rail lines. The vertical tendencies of this project aim to introduce the rupturing of the quotidian relationship with the horizontal that dominates movement through the city. The strata formed in the soil of the False Creek area carry the history of the settlement of the area. The networks of the rail yards spread the stories of the people passing through them,creating layers within the cultural memory of the city. Over the years this cultural detritus molds and rots just as the soil and the structures of the area do. Together they form a humus thatcontains the mold that supports life in the city, spreading underneath every structure we build and every story we tell. This is a fertile substrate, not one given to decay and destruction. It supports connections and unexpected developments, much as the rhizomorphic systems of a large fungus will remain hidden, spreading underground and only exhibiting its presence once ayear with its short-lived mushroom heads. It is a constantly shifting and ever-present narrative running just below the surface of the city.Cedric BomfordOctober, 2014",Meccanica,108 East 1st Avenue,Mount Pleasant,49.27002300,-123.10182000,South side of First Avenue,Sculpture,Ductal concrete,Cressey,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=591,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=591&ImageId=664,Michael Love,486
592,Elk for csnam,2015,Removed,"This work is to celebrate the history of the natural world and to remember that elk and other four leggings once lived on this exact site and that us the two legged’s should ponder our relations with the natural world. The work was commissioned by the City of Vancouver Public Art Program and produced for the Capture Photography Festival. Works for the Canada Line were in the context of the exhibition csnam: The City Before the City at the Museum of Vancouver, the Museum of Anthropology and the Musqueam Cultural Centre.","When asked to conceive an original work for this downtown site relating to the theme of csnam, the city before the city, Dana Claxton considered pre-colonial landscapes and animal nations such as elk, deer, bear, beaver, mink, raccoon, skunk and wolf populations that circulated through these lands by their own natural logic.  In particular, elk forms a crucial aspect of First Nations subsistence and spiritual economies. In the artist’s Lakota Sioux community they hold power as a source of sacred mana integral to ceremonial life. Elk were plentiful in the lower mainland for thousands of years, yet have disappeared in less than two hundred.  Today the local Musqueam people must trade up north and in the interior for elk, as their use remains intrinsic to the society and culture. The artist questions: “What does this mean for society today? How are we respecting the “four-leggeds” still among us? What is our relationship with them?  Who is responsible for considering them and making sure they are safe? How do we live with them?”  She asks us to ponder these questions as we look through the grey concrete forest to see the aestheticized elk, alive in a celebration of colour, where it once may have been standing.",Canada Line City Centre Station,West Georgia Street & Granville Street,Downtown,49.28259400,-123.11810000,,Other,Vinyl on glass,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=592,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=592&ImageId=478,Cam Andrews,415
593,Landscape: Possessing Numerous Peaks and Ripple ,2016,In place,"Huang Zhiyang’s artwork consists of twelve white marble sculptural forms fronting Georgia Street in downtown Vancouver. Eleven of these human scale 3-dimensional forms with textured undulating lines titled, Landscape: Possessing Numerous Peaks are scattered across the central plaza. A single 2- dimensional marble wall piece titled Ripple is situated on the East Plaza Wall in conversation with the ground-mounted works occupying the central plaza.","""Trump Public Plaza presents an ensemble of humanity, art and nature. The flow of space, parallel and undulating lines, white marble textures, range upon range of pinnacles which symbolizes all creatures amid heaven and earth. Natural order, ethics and humanity coexist in harmony. Calmness overflows corresponding with the serenity of the sky, the sea and the land, respectfully. Quiet and peaceful, the scene (artwork) offers a pleasant habitat to live, work, and walk around or even lie down for a rest.” – Huang Zhiyang",Trump International Hotel & Tower Vancouver,1161 West Georgia Street,Downtown,49.28684400,-123.12415300,Central Plaza,Sculpture,White marble,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=593,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=593&ImageId=1139,Ballard Fine Arts,424
594,"Semi-Public: Vancouver Especially (A Vancouver Special scaled to its property value in 1973, then…",2015,In place,"""Vancouver Especially is a 1:3 scale replica of a mass-produced, Vancouver architectural style of homes known as the ""Vancouver Special"", popularized from 1965 to 1985 with an estimated 10,000 homes built. The scale of the artwork is determined by the $45,000 production budget, comparable to the value of a Vancouver Special in the 1970's. If one were to buy a Vancouver Special with that budget today, it would be tiny (see the small relief in the platform for the actual scale); thus the artwork was multiplied eightfold. Despite it's diminutive presence, the artwork would be most appropriately considered an enlargement of accepted value."" - Courtesty 221A Artist-Run Centre Society, Vancouver",,Outdoor Site: 221 A Gallery - Union St. & Gore St.,271 Union Street,DowntownEastside,49.27789300,-123.09736300,On a small lot between two buildings at 271 Union Street.,Sculpture,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=594,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=594&ImageId=479,"Photo by Denis Ha. Courtesy 221A Artist-Run Centre Society, Vancouver",3
595,Land and Sea,2014,In place,"Contemporary Coast Salish designs come to life in two light boxes, over 4-storys each, installed on the copper facades facing inwards to the central plaza at 8555 Granville Street.   Designed by brother and sister team, artists Thom and Kelly Cannell, the panels tell a contemporary tale about their homeland, and depict creatures of the Land (green) and the Sea (blue).  Each light box is shaped as a fragment of a circle,  the shape of a spindle whorl which was utilized when spinning the yarn used in Coast Salish weaving.  (Examples of Musqueam weaving can be seen in the display case in front of the Safeway store along Granville street).  Creations in weaving have been passed down for countless generations.  The artists’ grandmother, Edna Grant, was taught to weave by her mother, who was taught by her mother, and so on. Her designs could be recognized up and down the coast.  Not unlike a crest, weaving designs symbolize lineage.  This is true in carving, weaving, painting, and dancing.  The artists are proud of this legacy and acknowledge it in this artwork.","""Land is usually depicted as steady and stable, Sea as unpredictable, and Sky as free spirited.""Our account of Land and Sea is a contemporary tale about our homeland. Legends have been thought about time immemorial and passed on from generation to generation. They are contemporary tales because the story is always changing. An Eagle’s spirit, or the spirit of a bear is not always the same thing. Different characteristics and different places mean different things. Kelly and I have created a contemporary design that demonstrates the way nature flows together. In some cases you will see water flowing down a stream, or the wind blowing through the trees, or the trees themselves and their underground roots.Land is: blades of grass, a deer is prancing through from the forest just for the fun of it. A beaver emerges through the reeds at shore, looking for another tree to chew down; he has found it, but is weary of predators all the time. This time, only small creatures of the forest are hidden.Sea is: the west coast dream. Killer whales are chasing salmon around the Salish Sea. Kelp is flowing in the currents, maybe it is herring spawning season. Flounders down below are oblivious to another world above the surface. Cod are hiding amongst the rocks waiting for an easy meal.Life is transient, hardly still, even though we don't see it, branches are deliberately growing, underwater habitats are being bathed with the tide and water vapors rise into the atmosphere to fall far away. Happenings are all around us, ready to be re-discovered again and again.The broken circle of each design element refers to fragmented spindle whorl artifacts and the separations we see between these elements. Only when we see the whole picture together will the circle be complete. Our home is to inspire people to look closer in order to understand the subtleties and multitude of factors involved in our world.",Granville at 70th,"8555 Granville Street, West Building (Land) Cornish Estates (Sea)",Marpole,49.20941500,-123.14115400,"The 4-story light boxes are located on the copper panels on the West Building and Cornish Estates Building, facing the central plaza.",Site Work,Glass,Westbank,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=595,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=595&ImageId=480,Ed White,324;425
596,Shore to Shore,2015,In place,"The artwork is a 14-foot bronze sculpture with life-sized representations of Portuguese Joe Silvey and his Coast Salish wives, Khaltinaht and Kwatleematt. The site of the sculpture is Brockton Point in Stanley Park, the historical location of a small community where Silvey and his first wife Khaltinaht resided.The work celebrates the ancestral connection of Coast Salish and Portuguese communities in Vancouver.",,Brockton Point,Stanley Park,Stanley Park,49.30083400,-123.11747300,,Sculpture,Bronze,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=596,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=596&ImageId=481,photographer unknown,426
597,Nail Farm,2014,In place,Nail Farm is a public art project that takes the form of a barn ruin on a residential building site. The sculpture serves as a structure to facilitate urban agriculture activity. The deconstructed barn provides all of the required infrastructure in an optimized setting to grow food and plants for the residents of the LIDO development.,"At once romantic and fantastic, Nail Farm seeks to reconcile the desire to satisfy city-self and country-self, the inherent drive in urban agriculture. The barn is based on a local gambrel roof barn. It is abstracted to the point where it can be seen more as a lattice system to use for the growth of plants. The implied animal stalls become the grow beds. The entire footprint of the project is covered in 2' deep growing medium and can therefore be used as a ground forgrowing anything. Even the paths can potentially be overgrown. It is the aim of the project to provide a unified, total ""planter"" as an interesting alternative to the more typical community garden topology of segregated 'grow boxes'.",LIDO,1650 Quebec / 110 Switchmen Street,Mount Pleasant,49.27087900,-123.10165300,The work is located between the south side of the condo building and the west side of the rental building of the development.,Site Work,Rough Sawn Douglas Fir timber,Bosa,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=597,,,329
599,Still Here,2016,In place,"3,3m long spawning salmon and a stream of tiny blue lights visible at night marking the lost stream beneath the plaza.","A stream once flowed here on its way to Renfrew Ravine. The City’s storm-drain still follows the path of the stream beneath us.It flows into Still Creek where, after many decades of absence, salmon spawn again. This is a place rich with story and memory.Text credits Skwxu7mesh Snichem (Skhomesh language): T'uy't'tanat (Cease Wyss); Poetry: J. D. Morden, Isaac Rosen-Purcell; Local Memories: Cathie Folkard, The Engelland family, Steve Webb, “East Enders Reunion” group.Special thanks to Ken Clark, Sarah Rankin, Alex Chisholm, January Wolodarsky, Sanderson Concrete – Jan Arntorp, Jamie Allen and team, BL Lighting, Durante-Kreuk, Henning Knoetzele, Still Moon Arts Society.",Skyway Plaza,2699 Kingsway,Renfrew-Collingwood,49.23869900,-123.04990000,"Across the street from Norquay Park, between Earles Road and Slocan Street",Sculpture,"Reinforced concrete, and LED solar beacons",Strata Corporation of 2699 Kingsway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=599,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=599&ImageId=633,Henning Knoetzele,290
603,Offsite: Woven Chronicle,2015,Removed,,,Shangri-La - Offsite,1128 West Georgia Street,West End,49.28576200,-123.12394700,West of Shangri-la Hotel (on W. Georgia between Thurlow and Bute),Other,,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=603,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=603&ImageId=815,"Rachel Topham, Vancouver Art Gallery, 2015",427
605,Welcome Figure,2006,In place,The standing Welcome Figure was erected by the Squamish Nation. The land was once the site of a traditional Squamish village called Sun'ahk.,,,,Kitsilano,49.27442900,-123.13875000,"Along False Creek seawall, South of the Burrard Bridge",Totem,,Squamish Nation,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=605,,,428
606,Three Carrara Marbles,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.23906800,-123.13460400,Front west lawn by Truffles Café,Sculpture,Marble,VanDusen Botanical Garden Associaton (VBGA),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=606,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=606&ImageId=714,Heide Dobler,99
607,Departure,2013,In place,Man and woman sitting on a bench.,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.23906800,-123.13460400,Cleghorn Family Landing,Sculpture,Bronze,VanDusen Botanical Garden Association (VBGA),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=607,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=607&ImageId=690,Heide Dobler,523
608,Transformation Plant,2012,In place,"Fabricated in situ by New Zealand artist Chris Booth as part of Earth Art 2012, nactp “Transformation Plant” was created in consultation with elders and key members of the Musqueam Indian Band who also bestowed its name.nactp “Transformation Plant” is a collaboration with nature and community – living earth art. Musqueam elders advised that the small juvenile tree planted in the center should be the highly revered western red cedar. Over the years, as the fungi breaks down the stacked wood recycling it into humus, the red cedar will flourish into a beautiful tree while the stone slabs (‘petals’) will slowly open up like a flower.","Like Booth’s other wood and stone works such as Tranekaer Vader, 1998 and Zunderschwamm, 1999   nactp “Transformation Plant” harnesses the great recycling ability of fungi to facilitate a very long term (30 +/- years) kinetic living earth art work.In doing these living works, it is one of the artist’s aims to highlight the wonders of fungi, the most extensive of all living organisms and one of our most ancient sources of food and medicine.  This ancient and generally lesser known plant-like organism is vital to all life on earth, yet is threatened by human activities.  The uncontrolled build-up of manmade greenhouse gas emissions is making our atmosphere inhospitable  even toxic  to life as we know it. The devastation caused by people is happening around us on an ever-increasing scale. Hopefully, these living earth art works will educate the visitor to be wiser – to become proactive in reversing this spiraling catastrophe.",VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.23906800,-123.13460400,East of Education Centre,Site Work,"Reclaimed granite, mixed wood",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=608,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=608&ImageId=715,Heide Dobler,429
609,Confidence,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.23906800,-123.13460400,By the ginkgo trees,Sculpture,Red cedar,VanDusen Botanical Garden Association (VBGA),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=609,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=609&ImageId=716,Heide Dobler,210
610,Zipper,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.23906800,-123.13460400,Great Lawn,Site Work,Douglas fir,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=610,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=610&ImageId=717,Heide Dobler,510
612,Robson Park Community Mural,2015,In place,"Artist Lindsey Adams led the design and development of a community mural in order to revitalize and enhance public space. The mural captures ideas generated by local non-profit organizations, community members, and park users, leading to the development, design, and painting of this mural.","This was an opportunity to create local, meaningful, and immediate improvements with the neighbourhood.",Robson Park,Robson Park at St. George Street and 13th Avenue,Mount Pleasant,49.25851000,-123.09267300,"North side of the sport court at Robson Park, adjacent to 2910 St. George Street",Mural,Paint and Spray Paint,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=612,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=612&ImageId=489,Lindsey Kyoko Adams - 2015,430
613,The Wall at CBC: down. town.,2015,Removed,"down. town. is a large-scale composite photographic installation that looks at the history and rate of change of the built form that comprises Vancouver's downtown corridor (bounded by Main St., Burrard St., north of Georgia St., False Creek and the Burrard Inlet) between 1954 and 2015.","down. town. was created after intensive research into not only how many buildings have been demolished in downtown Vancouver since 1954, but also how much of this process was considered to be ""newsworthy"" as evidenced by the archival holding of our first television station, CBUT (CBC's precursor). The original idea was to present a true ratio of buildings lost to buildings recorded in the process of being lost, thus incorporating the notion of ""absence"" into the final piece. Absence of buildings, absence of records and more generally the idea of buildings missing from public memory is the foundation of the work.",CBC Vancouver Broadcast Centre Plaza,700 Hamilton Street,Downtown,49.27958600,-123.11420000,On the wall to the right of the main entrance of CBC Vancouver.,Mural,"Digital photography, vinyl",,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=613,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=613&ImageId=654,Faith Moosang,547
614,Watch Seller,2015,In place,,,Main Street Skytrain Station,Main Street and Terminal Avenue,Downtown,49.27329600,-123.10062700,,Sculpture,,Translink,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=614,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=614&ImageId=655,Barbara Cole,389;508
615,The Wall at CBC: FOUNTAIN: the source or origin of anything,2014,Removed,,,CBC Vancouver Broadcast Centre Plaza,700 Hamilton Street,Downtown,49.27960000,-123.11410000,,Other,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=615,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=615&ImageId=668,John Fukushima,431
617,Alien Terrarium,2016,Removed,"A photography based theatrical panorama of local non-native plant species such as Japanese Knotweed, English Ivy, Scotch Broom, English Holly, and Himalayan Blackberry are captured in a series of three staged environments and digitally reproduced onto translucent adhesive vinyl. The work is presented on three sides of a glass stairwell enclosure.","One of the effects of living in a coastal region is that many invasive plant species enter the ecology from other parts of the world. This artwork invites viewers to be immersed in an ""alien"" world and consider themes of migration and survival.",Queen Elizabeth Plaza,,Downtown,49.28000300,-123.11371600,At the parking exit structure on the corner of W Georgia and Hamilton,Mural,Digitally printed onto adhesive vinyl.,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=617,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=617&ImageId=494,"Elisa Yon, 2016",432;488
619,The Eyes of the People,2009,In place,"This stained glass work is inspired by traditional Coast Salish woven cedar bard, and depicts a traditional eye motif. Here the eye represents the eyes of the people, past, present, and future. It was created and inspired by the Vancouver 2010 Olympic and Paralympic Winter Games. This work incorporates blue glass that was recycled from the site's previous ice rin.",,Killarney Community Centre,6260 Killarney Street,Killarney,49.22764100,-123.04430000,Stained glass artwork in the window above the front door,Site Work,Contemporary and vintage/recycled stained glass in wooden frame,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=619,,,417
620,Offsite: The Experience,2015,Removed,"Elizabeth Zvonar conjures romantic sentiment and melancholic undertones in ""The Experience"", a bleached-out collage boldly positioned in downtown Vancouver during the dreary months of winter. Combining materials and strategies used in advertising, the site-specific public artwork draws tangential connections between thoughtful inquiry and advertorial amusement. A pair of sunglasses from a 1970s fashion magazine is placed in the foreground of a celestial landscape from Mars, creating a scene that reads like a postcard from the future. In ""The Experience"", Zvonar continues her practice of appropriating imagery from various sources including advertising, contemporary fashion photography and counterculture media. She amplifies the digital design of her hand-cut collage by dramatically increasing its scale and incorporating lighting effects to produce an environment that shifts from a space of entertainment to one of examination.",,Shangri-La - Offsite,1128 West Georgia Street,West End,49.28576200,-123.12394700,West of the Shangri-La Hotel,Site Work,,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=620,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=620&ImageId=805,"Rachel Topham, Vancouver Art Gallery, 2015",433
621,Dichroic Vancouver,2015,In place,"Four thin bands of dichroic glass are embedded into the southeast and southwest facades of the tower. The glass changes colour depending on where one stands, in combination with the atmospheric and climatic conditions of the moment. During the weekdays, the lights are a soft shimmering pattern of green. On Fridays, Saturdays, and Sundays, the lights change to a very broad sequence of 23 different light shows.","This art project challenges the existing chromatics of downtown Vancouver. In a city known for architecture of greys, muted greens and blues, the resulting mass of construction can appear monolithic and somber at times, with only the occasional splash of colour. When these colours do occur, they seem almost jarring - too powerful and unresponsive to changes in light and weather. ""Dichroic Vancouver"" introduces a set of colour-changing bands of glass to the new Manulife Financial office building. Four delicate lines of dichroic glass are integrated into the southeast and southwest facades to bring nuances of shifting colour to viewers. The hues are affected by climatic and light modulations in the sky. Like weather and emotion, all is in a constant state of change. Viewers witness surprising and changing conditions of light and colour; a welcome addition to a sometimes monochromatic city. ""Colour is a power which directly influences the soul."" - Wassily Kandisky, Concerning the Spiritual in Art",Manulife Tower,980 Howe Street,Downtown,49.28016700,-123.12330000,,Site Work,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=621,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=621&ImageId=496,photo courtesy of the artist,114
